"Product ID","Classic ID","ID (6001-8000)","ID (10001-12000)","ID (12001-14000)","ID (14001-16000)","ID (16001-18000)","ID (18001-20000)","ID (20001-22000)","ID (22001-24000)","ID (24001-26000)"
"200,16200, 18200,  22200, 24200, 1279,13279,",200,,,,,16200,18200,,22200,24200
"201,22201, 24201",201,,,,,,,,22201,24201
"202,16202, 18202,  22202, 24202",202,,,,,16202,18202,,22202,24202
"203,16203, 18203,  22203, 24203, 1083,13083,",203,,,,,16203,18203,,22203,24203
"204,16204, 18204,  22204, 24204",204,,,,,16204,18204,,22204,24204
"205,16205, 18205,  22205, 24205",205,,,,,16205,18205,,22205,24205
,206,,,,,16206,18206,,22206,24206
,207,,,,,16207,18207,,22207,24207
"208,16208, 18208,  22208, 24208",208,,,,,16208,18208,,22208,24208
"209,16209, 18209,  22209, 24209",209,,,,,16209,18209,,22209,24209
"210,16210, 18210,  22210, 24210",210,,,,,16210,18210,,22210,24210
"211,16211, 18211,  22211, 24211",211,,,,,16211,18211,,22211,24211
,212,,,,,16212,18212,,22212,24212
,1280,,,,,17280,19280,,23280,25280
,1281,,,,,17281,19281,,23281,25281
,1282,,,,,17282,19282,,23282,25282
,213,,,,,16213,18213,,22213,24213
,1269,,,,,17269,19269,,23269,25269
,1270,,,,,17270,19270,,23270,25270
"214,16214, 18214,  22214, 24214",214,,,,,16214,18214,,22214,24214
"Classic > Brushes > Micro Brushes",215,,,,,16215,18215,,22215,24215
"Classic > Brushes > Micro Brushes > Assorted",216,,,,,16216,18216,,22216,24216
"Classic > Brushes > Micro Brushes > Fine",217,,,,,16217,18217,,22217,24217
"Classic > Brushes > Micro Brushes > Standard",218,,,,,16218,18218,,22218,24218
"Classic > Brushes > Micro Brushes > Super Fine",1675,,,,,17654,19297,,23665,25662
,219,,,,,16219,18219,,22219,24219
"220,16220, 18220,  22220, 24220",220,,,,,16220,18220,,22220,24220
"221,16221, 18221,  22221, 24221",221,,,,,16221,18221,,22221,24221
"222,18222,  22222, 24222",222,,,,,,18222,,22222,24222
"223,16223, 18223,  22223, 24223",223,,,,,16223,18223,,22223,24223
"224,18224,  22224, 24224",224,,,,,,18224,,22224,24224
"225,18225,  22225, 24225, 1085,13085,",225,,,,,,18225,,22225,24225
,226,,,,,,18226,,22226,24226
"227,18227,  22227, 24227",227,,,,,,18227,,22227,24227
